Date : 2024-07-21 22:25:55
Directory : d:\BaiduSyncdisk\OCI
Total : 82 files,  4236 codes, 4116 comments, 1031 blanks, all 9383 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |         76 |      3,795 |      2,157 |        380 |      6,332 |
| Doxyfile |          1 |        358 |      1,929 |        616 |      2,903 |
| Makefile |          1 |         50 |         30 |         23 |        103 |
| Go       |          1 |         26 |          0 |          7 |         33 |
| Docker   |          1 |          4 |          0 |          4 |          8 |
| Markdown |          1 |          2 |          0 |          1 |          3 |
| JSON     |          1 |          1 |          0 |          0 |          1 |
+----------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                    |         82 |      4,236 |      4,116 |      1,031 |      9,383 |
| . (Files)                                            |          6 |        470 |      1,961 |        655 |      3,086 |
| busybox                                              |          1 |          1 |          0 |          0 |          1 |
| execute                                              |         37 |      2,447 |      1,394 |        234 |      4,075 |
| execute (Files)                                      |          1 |         26 |         26 |          6 |         58 |
| execute\cli                                          |          2 |        311 |         66 |         31 |        408 |
| execute\cmd                                          |         13 |        434 |        317 |         58 |        809 |
| execute\cobra                                        |          4 |        890 |        584 |         40 |      1,514 |
| execute\config                                       |          1 |          8 |         10 |          1 |         19 |
| execute\define                                       |          5 |         97 |         31 |          8 |        136 |
| execute\docker                                       |          1 |         29 |          0 |          1 |         30 |
| execute\imagebuildah                                 |          1 |          4 |          0 |          4 |          8 |
| execute\internal                                     |          1 |          1 |         21 |          4 |         26 |
| execute\pflag                                        |          1 |        165 |        202 |          3 |        370 |
| execute\pkg                                          |          4 |        413 |         70 |         69 |        552 |
| execute\pkg\auth                                     |          1 |         10 |          0 |          3 |         13 |
| execute\pkg\idtools                                  |          1 |          7 |          0 |          2 |          9 |
| execute\pkg\parse                                    |          1 |        308 |         70 |         57 |        435 |
| execute\pkg\util                                     |          1 |         88 |          0 |          7 |         95 |
| execute\storage                                      |          3 |         69 |         67 |          9 |        145 |
| include                                              |         38 |      1,318 |        761 |        142 |      2,221 |
| include\cli                                          |          2 |        145 |         43 |          7 |        195 |
| include\cmd                                          |         13 |        208 |        184 |         19 |        411 |
| include\cobra                                        |          4 |        206 |        107 |         20 |        333 |
| include\config                                       |          1 |         38 |         14 |         16 |         68 |
| include\define                                       |          5 |        373 |        330 |         36 |        739 |
| include\docker                                       |          1 |         46 |          1 |          3 |         50 |
| include\github                                       |          1 |         11 |          0 |          4 |         15 |
| include\imagebuildah                                 |          1 |         12 |          0 |          3 |         15 |
| include\pflag                                        |          1 |         88 |         42 |          2 |        132 |
| include\pkg                                          |          5 |         91 |          3 |         13 |        107 |
| include\pkg\auth                                     |          1 |          7 |          0 |          2 |          9 |
| include\pkg\idtools                                  |          1 |         28 |          0 |          5 |         33 |
| include\pkg\internal                                 |          1 |         21 |          2 |          3 |         26 |
| include\pkg\parse                                    |          1 |         21 |          1 |          2 |         24 |
| include\pkg\util                                     |          1 |         14 |          0 |          1 |         15 |
| include\storage                                      |          4 |        100 |         37 |         19 |        156 |
| include\storage (Files)                              |          3 |         78 |         34 |         15 |        127 |
| include\storage\driver                               |          1 |         22 |          3 |          4 |         29 |
+------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                             | language | code       | comment    | blank      | total      |
+------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\BaiduSyncdisk\OCI\Code.go                         | Go       |         26 |          0 |          7 |         33 |
| d:\BaiduSyncdisk\OCI\Dockerfile                      | Docker   |          4 |          0 |          4 |          8 |
| d:\BaiduSyncdisk\OCI\Doxyfile                        | Doxyfile |        358 |      1,929 |        616 |      2,903 |
| d:\BaiduSyncdisk\OCI\Makefile                        | Makefile |         50 |         30 |         23 |        103 |
| d:\BaiduSyncdisk\OCI\README.md                       | Markdown |          2 |          0 |          1 |          3 |
| d:\BaiduSyncdisk\OCI\busybox\index.json              | JSON     |          1 |          0 |          0 |          1 |
| d:\BaiduSyncdisk\OCI\execute\cli\build.cpp           | C++      |        216 |         12 |         16 |        244 |
| d:\BaiduSyncdisk\OCI\execute\cli\common.cpp          | C++      |         95 |         54 |         15 |        164 |
| d:\BaiduSyncdisk\OCI\execute\cmd\build.cpp           | C++      |        238 |         75 |         16 |        329 |
| d:\BaiduSyncdisk\OCI\execute\cmd\config.cpp          | C++      |         15 |         23 |          4 |         42 |
| d:\BaiduSyncdisk\OCI\execute\cmd\images.cpp          | C++      |         15 |         21 |          4 |         40 |
| d:\BaiduSyncdisk\OCI\execute\cmd\info.cpp            | C++      |         11 |         19 |          2 |         32 |
| d:\BaiduSyncdisk\OCI\execute\cmd\inspect.cpp         | C++      |         11 |         19 |          2 |         32 |
| d:\BaiduSyncdisk\OCI\execute\cmd\login.cpp           | C++      |         13 |         21 |          3 |         37 |
| d:\BaiduSyncdisk\OCI\execute\cmd\logout.cpp          | C++      |         13 |         21 |          3 |         37 |
| d:\BaiduSyncdisk\OCI\execute\cmd\pull.cpp            | C++      |         17 |         21 |          4 |         42 |
| d:\BaiduSyncdisk\OCI\execute\cmd\push.cpp            | C++      |         15 |         21 |          3 |         39 |
| d:\BaiduSyncdisk\OCI\execute\cmd\rmi.cpp             | C++      |         11 |         19 |          2 |         32 |
| d:\BaiduSyncdisk\OCI\execute\cmd\root.cpp            | C++      |         50 |         17 |         10 |         77 |
| d:\BaiduSyncdisk\OCI\execute\cmd\tag.cpp             | C++      |         12 |         19 |          2 |         33 |
| d:\BaiduSyncdisk\OCI\execute\cmd\version.cpp         | C++      |         13 |         21 |          3 |         37 |
| d:\BaiduSyncdisk\OCI\execute\cobra\args.cpp          | C++      |         10 |          7 |          0 |         17 |
| d:\BaiduSyncdisk\OCI\execute\cobra\command.cpp       | C++      |        530 |        295 |         24 |        849 |
| d:\BaiduSyncdisk\OCI\execute\cobra\error.cpp         | C++      |          1 |          0 |          2 |          3 |
| d:\BaiduSyncdisk\OCI\execute\cobra\flag.cpp          | C++      |        349 |        282 |         14 |        645 |
| d:\BaiduSyncdisk\OCI\execute\config\config.cpp       | C++      |          8 |         10 |          1 |         19 |
| d:\BaiduSyncdisk\OCI\execute\define\build.cpp        | C++      |         47 |          0 |          3 |         50 |
| d:\BaiduSyncdisk\OCI\execute\define\define.cpp       | C++      |          0 |         10 |          1 |         11 |
| d:\BaiduSyncdisk\OCI\execute\define\namespace.cpp    | C++      |          6 |          9 |          0 |         15 |
| d:\BaiduSyncdisk\OCI\execute\define\pull.cpp         | C++      |         22 |         12 |          3 |         37 |
| d:\BaiduSyncdisk\OCI\execute\define\types.cpp        | C++      |         22 |          0 |          1 |         23 |
| d:\BaiduSyncdisk\OCI\execute\docker\reference.cpp    | C++      |         29 |          0 |          1 |         30 |
| d:\BaiduSyncdisk\OCI\execute\imagebuildah\build.cpp  | C++      |          4 |          0 |          4 |          8 |
| d:\BaiduSyncdisk\OCI\execute\internal\types.cpp      | C++      |          1 |         21 |          4 |         26 |
| d:\BaiduSyncdisk\OCI\execute\main.cpp                | C++      |         26 |         26 |          6 |         58 |
| d:\BaiduSyncdisk\OCI\execute\pflag\value.cpp         | C++      |        165 |        202 |          3 |        370 |
| d:\BaiduSyncdisk\OCI\execute\pkg\auth\auth.cpp       | C++      |         10 |          0 |          3 |         13 |
| d:\BaiduSyncdisk\OCI\execute\pkg\idtools\idtools.cpp | C++      |          7 |          0 |          2 |          9 |
| d:\BaiduSyncdisk\OCI\execute\pkg\parse\parse.cpp     | C++      |        308 |         70 |         57 |        435 |
| d:\BaiduSyncdisk\OCI\execute\pkg\util\util.cpp       | C++      |         88 |          0 |          7 |         95 |
| d:\BaiduSyncdisk\OCI\execute\storage\storage.cpp     | C++      |          5 |          0 |          1 |          6 |
| d:\BaiduSyncdisk\OCI\execute\storage\store.cpp       | C++      |          0 |          0 |          3 |          3 |
| d:\BaiduSyncdisk\OCI\execute\storage\utils.cpp       | C++      |         64 |         67 |          5 |        136 |
| d:\BaiduSyncdisk\OCI\include\cli\build.h             | C++      |        124 |         33 |          7 |        164 |
| d:\BaiduSyncdisk\OCI\include\cli\common.h            | C++      |         21 |         10 |          0 |         31 |
| d:\BaiduSyncdisk\OCI\include\cmd\build.h             | C++      |         27 |         15 |          2 |         44 |
| d:\BaiduSyncdisk\OCI\include\cmd\config.h            | C++      |         23 |         15 |          1 |         39 |
| d:\BaiduSyncdisk\OCI\include\cmd\images.h            | C++      |         15 |         16 |          1 |         32 |
| d:\BaiduSyncdisk\OCI\include\cmd\info.h              | C++      |         11 |         10 |          1 |         22 |
| d:\BaiduSyncdisk\OCI\include\cmd\inspect.h           | C++      |         11 |         10 |          1 |         22 |
| d:\BaiduSyncdisk\OCI\include\cmd\login.h             | C++      |         17 |         15 |          1 |         33 |
| d:\BaiduSyncdisk\OCI\include\cmd\logout.h            | C++      |         15 |         16 |          3 |         34 |
| d:\BaiduSyncdisk\OCI\include\cmd\pull.h              | C++      |         15 |         15 |          1 |         31 |
| d:\BaiduSyncdisk\OCI\include\cmd\push.h              | C++      |         15 |         15 |          1 |         31 |
| d:\BaiduSyncdisk\OCI\include\cmd\rmi.h               | C++      |         11 |         10 |          1 |         22 |
| d:\BaiduSyncdisk\OCI\include\cmd\root.h              | C++      |         22 |         22 |          4 |         48 |
| d:\BaiduSyncdisk\OCI\include\cmd\tag.h               | C++      |         11 |         10 |          1 |         22 |
| d:\BaiduSyncdisk\OCI\include\cmd\version.h           | C++      |         15 |         15 |          1 |         31 |
