"filename", "language", "C++", "Makefile", "Go", "Docker", "Markdown", "JSON", "comment", "blank", "total"
"e:\Projects\VScodeProjects\ocibuilder_init\execute\idtools\idtools.cpp", "C++", 65, 0, 0, 0, 0, 0, 23, 11, 99
"e:\Projects\VScodeProjects\ocibuilder_init\execute\imagebuildah\build.cpp", "C++", 200, 0, 0, 0, 0, 0, 17, 21, 238
"e:\Projects\VScodeProjects\ocibuilder_init\execute\imagebuildah\executor.cpp", "C++", 622, 0, 0, 0, 0, 0, 137, 55, 814
"e:\Projects\VScodeProjects\ocibuilder_init\execute\imagebuildah\stage_executor.cpp", "C++", 328, 0, 0, 0, 0, 0, 7, 49, 384
"e:\Projects\VScodeProjects\ocibuilder_init\execute\imagebuildah\util.cpp", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 9
"e:\Projects\VScodeProjects\ocibuilder_init\execute\imagebuilder\builder.cpp", "C++", 341, 0, 0, 0, 0, 0, 20, 46, 407
"e:\Projects\VScodeProjects\ocibuilder_init\execute\imagebuilder\dispatchers.cpp", "C++", 281, 0, 0, 0, 0, 0, 66, 34, 381
"e:\Projects\VScodeProjects\ocibuilder_init\execute\imagebuilder\evaluator.cpp", "C++", 80, 0, 0, 0, 0, 0, 22, 12, 114
"e:\Projects\VScodeProjects\ocibuilder_init\execute\imagebuilder\internals.cpp", "C++", 119, 0, 0, 0, 0, 0, 22, 23, 164
"e:\Projects\VScodeProjects\ocibuilder_init\execute\imagebuilder\shell_parser.cpp", "C++", 227, 0, 0, 0, 0, 0, 25, 34, 286
"e:\Projects\VScodeProjects\ocibuilder_init\execute\init\init.cpp", "C++", 8, 0, 0, 0, 0, 0, 13, 2, 23
"e:\Projects\VScodeProjects\ocibuilder_init\execute\init\init_cmd.cpp", "C++", 8, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Projects\VScodeProjects\ocibuilder_init\execute\init\init_global.cpp", "C++", 162, 0, 0, 0, 0, 0, 10, 20, 192
"e:\Projects\VScodeProjects\ocibuilder_init\execute\internal\types.cpp", "C++", 1, 0, 0, 0, 0, 0, 21, 4, 26
"e:\Projects\VScodeProjects\ocibuilder_init\execute\lockfile\lastwrite.cpp", "C++", 19, 0, 0, 0, 0, 0, 7, 6, 32
"e:\Projects\VScodeProjects\ocibuilder_init\execute\lockfile\lockfile.cpp", "C++", 211, 0, 0, 0, 0, 0, 90, 47, 348
"e:\Projects\VScodeProjects\ocibuilder_init\execute\logrus\alt_exit.cpp", "C++", 14, 0, 0, 0, 0, 0, 4, 4, 22
"e:\Projects\VScodeProjects\ocibuilder_init\execute\logrus\bufferpool.cpp", "C++", 1, 0, 0, 0, 0, 0, 2, 0, 3
"e:\Projects\VScodeProjects\ocibuilder_init\execute\logrus\entry.cpp", "C++", 337, 0, 0, 0, 0, 0, 66, 56, 459
"e:\Projects\VScodeProjects\ocibuilder_init\execute\logrus\exported.cpp", "C++", 148, 0, 0, 0, 0, 0, 7, 3, 158
"e:\Projects\VScodeProjects\ocibuilder_init\execute\logrus\hooks.cpp", "C++", 17, 0, 0, 0, 0, 0, 15, 3, 35
