Date : 2024-07-18 19:58:34
Directory : d:\BaiduSyncdisk\OCI
Total : 76 files,  3610 codes, 3951 comments, 951 blanks, all 8512 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |         73 |      3,200 |      1,992 |        311 |      5,503 |
| Doxyfile |          1 |        358 |      1,929 |        616 |      2,903 |
| Makefile |          1 |         50 |         30 |         23 |        103 |
| Markdown |          1 |          2 |          0 |          1 |          3 |
+----------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                    |         76 |      3,610 |      3,951 |        951 |      8,512 |
| . (Files)                                            |          4 |        440 |      1,961 |        644 |      3,045 |
| execute                                              |         36 |      2,010 |      1,256 |        173 |      3,439 |
| execute (Files)                                      |          1 |         26 |         26 |          6 |         58 |
| execute\cli                                          |          2 |        166 |         26 |         16 |        208 |
| execute\cmd                                          |         13 |        418 |        314 |         59 |        791 |
| execute\cobra                                        |          4 |        830 |        581 |         37 |      1,448 |
| execute\config                                       |          1 |          8 |         10 |          1 |         19 |
| execute\define                                       |          4 |         84 |         22 |          8 |        114 |
| execute\docker                                       |          1 |         23 |          0 |          0 |         23 |
| execute\imagebuildah                                 |          1 |          4 |          0 |          3 |          7 |
| execute\internal                                     |          1 |         22 |          0 |          4 |         26 |
| execute\pflag                                        |          1 |        165 |        202 |          3 |        370 |
| execute\pkg                                          |          4 |        192 |          1 |         28 |        221 |
| execute\pkg\auth                                     |          1 |         10 |          0 |          3 |         13 |
| execute\pkg\idtools                                  |          1 |          1 |          0 |          1 |          2 |
| execute\pkg\parse                                    |          1 |         95 |          1 |         17 |        113 |
| execute\pkg\util                                     |          1 |         86 |          0 |          7 |         93 |
| execute\storage                                      |          3 |         72 |         74 |          8 |        154 |
| include                                              |         36 |      1,160 |        734 |        134 |      2,028 |
| include\cli                                          |          2 |        123 |         43 |          7 |        173 |
| include\cmd                                          |         13 |        207 |        184 |         19 |        410 |
| include\cobra                                        |          4 |        201 |        107 |         20 |        328 |
| include\config                                       |          1 |         29 |         14 |         18 |         61 |
| include\define                                       |          3 |        287 |        305 |         28 |        620 |
| include\docker                                       |          1 |         40 |          1 |          3 |         44 |
| include\github                                       |          1 |         11 |          0 |          4 |         15 |
| include\imagebuildah                                 |          1 |         12 |          0 |          3 |         15 |
| include\pflag                                        |          1 |         88 |         42 |          2 |        132 |
| include\pkg                                          |          5 |         61 |          2 |         11 |         74 |
| include\pkg\auth                                     |          1 |          7 |          0 |          2 |          9 |
| include\pkg\idtools                                  |          1 |         10 |          0 |          4 |         14 |
| include\pkg\internal                                 |          1 |         21 |          2 |          3 |         26 |
| include\pkg\parse                                    |          1 |          9 |          0 |          1 |         10 |
| include\pkg\util                                     |          1 |         14 |          0 |          1 |         15 |
| include\storage                                      |          4 |        101 |         36 |         19 |        156 |
| include\storage (Files)                              |          3 |         79 |         33 |         15 |        127 |
| include\storage\driver                               |          1 |         22 |          3 |          4 |         29 |
+------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                             | language | code       | comment    | blank      | total      |
+------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\BaiduSyncdisk\OCI\Doxyfile                        | Doxyfile |        358 |      1,929 |        616 |      2,903 |
| d:\BaiduSyncdisk\OCI\Makefile                        | Makefile |         50 |         30 |         23 |        103 |
| d:\BaiduSyncdisk\OCI\README.md                       | Markdown |          2 |          0 |          1 |          3 |
| d:\BaiduSyncdisk\OCI\execute\cli\build.cpp           | C++      |        102 |          0 |          6 |        108 |
| d:\BaiduSyncdisk\OCI\execute\cli\common.cpp          | C++      |         64 |         26 |         10 |        100 |
| d:\BaiduSyncdisk\OCI\execute\cmd\build.cpp           | C++      |        223 |         72 |         17 |        312 |
| d:\BaiduSyncdisk\OCI\execute\cmd\config.cpp          | C++      |         15 |         23 |          4 |         42 |
| d:\BaiduSyncdisk\OCI\execute\cmd\images.cpp          | C++      |         15 |         21 |          4 |         40 |
| d:\BaiduSyncdisk\OCI\execute\cmd\info.cpp            | C++      |         11 |         19 |          2 |         32 |
| d:\BaiduSyncdisk\OCI\execute\cmd\inspect.cpp         | C++      |         11 |         19 |          2 |         32 |
| d:\BaiduSyncdisk\OCI\execute\cmd\login.cpp           | C++      |         13 |         21 |          3 |         37 |
| d:\BaiduSyncdisk\OCI\execute\cmd\logout.cpp          | C++      |         13 |         21 |          3 |         37 |
| d:\BaiduSyncdisk\OCI\execute\cmd\pull.cpp            | C++      |         17 |         21 |          4 |         42 |
| d:\BaiduSyncdisk\OCI\execute\cmd\push.cpp            | C++      |         15 |         21 |          3 |         39 |
| d:\BaiduSyncdisk\OCI\execute\cmd\rmi.cpp             | C++      |         11 |         19 |          2 |         32 |
| d:\BaiduSyncdisk\OCI\execute\cmd\root.cpp            | C++      |         49 |         17 |         10 |         76 |
| d:\BaiduSyncdisk\OCI\execute\cmd\tag.cpp             | C++      |         12 |         19 |          2 |         33 |
| d:\BaiduSyncdisk\OCI\execute\cmd\version.cpp         | C++      |         13 |         21 |          3 |         37 |
| d:\BaiduSyncdisk\OCI\execute\cobra\args.cpp          | C++      |         10 |          7 |          0 |         17 |
| d:\BaiduSyncdisk\OCI\execute\cobra\command.cpp       | C++      |        530 |        295 |         24 |        849 |
| d:\BaiduSyncdisk\OCI\execute\cobra\error.cpp         | C++      |          1 |          0 |          2 |          3 |
| d:\BaiduSyncdisk\OCI\execute\cobra\flag.cpp          | C++      |        289 |        279 |         11 |        579 |
| d:\BaiduSyncdisk\OCI\execute\config\config.cpp       | C++      |          8 |         10 |          1 |         19 |
| d:\BaiduSyncdisk\OCI\execute\define\build.cpp        | C++      |         47 |          0 |          3 |         50 |
| d:\BaiduSyncdisk\OCI\execute\define\define.cpp       | C++      |          0 |         10 |          1 |         11 |
| d:\BaiduSyncdisk\OCI\execute\define\pull.cpp         | C++      |         22 |         12 |          3 |         37 |
| d:\BaiduSyncdisk\OCI\execute\define\types.cpp        | C++      |         15 |          0 |          1 |         16 |
| d:\BaiduSyncdisk\OCI\execute\docker\reference.cpp    | C++      |         23 |          0 |          0 |         23 |
| d:\BaiduSyncdisk\OCI\execute\imagebuildah\build.cpp  | C++      |          4 |          0 |          3 |          7 |
| d:\BaiduSyncdisk\OCI\execute\internal\types.cpp      | C++      |         22 |          0 |          4 |         26 |
| d:\BaiduSyncdisk\OCI\execute\main.cpp                | C++      |         26 |         26 |          6 |         58 |
| d:\BaiduSyncdisk\OCI\execute\pflag\value.cpp         | C++      |        165 |        202 |          3 |        370 |
| d:\BaiduSyncdisk\OCI\execute\pkg\auth\auth.cpp       | C++      |         10 |          0 |          3 |         13 |
| d:\BaiduSyncdisk\OCI\execute\pkg\idtools\idtools.cpp | C++      |          1 |          0 |          1 |          2 |
| d:\BaiduSyncdisk\OCI\execute\pkg\parse\parse.cpp     | C++      |         95 |          1 |         17 |        113 |
| d:\BaiduSyncdisk\OCI\execute\pkg\util\util.cpp       | C++      |         86 |          0 |          7 |         93 |
| d:\BaiduSyncdisk\OCI\execute\storage\storage.cpp     | C++      |          5 |          0 |          1 |          6 |
| d:\BaiduSyncdisk\OCI\execute\storage\store.cpp       | C++      |          0 |          0 |          3 |          3 |
| d:\BaiduSyncdisk\OCI\execute\storage\utils.cpp       | C++      |         67 |         74 |          4 |        145 |
| d:\BaiduSyncdisk\OCI\include\cli\build.h             | C++      |        106 |         33 |          7 |        146 |
| d:\BaiduSyncdisk\OCI\include\cli\common.h            | C++      |         17 |         10 |          0 |         27 |
