"filename", "language", "C++", "XML", "Batch", "Shell Script", "Diff", "Ruby", "Perl", "comment", "blank", "total"
"e:\Projects\VScodeProjects\ocibuilder\include\boost\accumulators\statistics\kurtosis.hpp", "C++", 63, 0, 0, 0, 0, 0, 0, 37, 17, 117
"e:\Projects\VScodeProjects\ocibuilder\include\boost\accumulators\statistics\max.hpp", "C++", 58, 0, 0, 0, 0, 0, 0, 18, 17, 93
"e:\Projects\VScodeProjects\ocibuilder\include\boost\accumulators\statistics\mean.hpp", "C++", 195, 0, 0, 0, 0, 0, 0, 75, 39, 309
"e:\Projects\VScodeProjects\ocibuilder\include\boost\accumulators\statistics\median.hpp", "C++", 213, 0, 0, 0, 0, 0, 0, 68, 44, 325
"e:\Projects\VScodeProjects\ocibuilder\include\boost\accumulators\statistics\min.hpp", "C++", 58, 0, 0, 0, 0, 0, 0, 18, 17, 93
"e:\Projects\VScodeProjects\ocibuilder\include\boost\accumulators\statistics\moment.hpp", "C++", 89, 0, 0, 0, 0, 0, 0, 24, 20, 133
"e:\Projects\VScodeProjects\ocibuilder\include\boost\accumulators\statistics\p_square_cumul_dist.hpp", "C++", 186, 0, 0, 0, 0, 0, 0, 57, 37, 280
"e:\Projects\VScodeProjects\ocibuilder\include\boost\accumulators\statistics\p_square_cumulative_distribution.hpp", "C++", 9, 0, 0, 0, 0, 0, 0, 6, 5, 20
"e:\Projects\VScodeProjects\ocibuilder\include\boost\accumulators\statistics\p_square_quantile.hpp", "C++", 181, 0, 0, 0, 0, 0, 0, 56, 35, 272
"e:\Projects\VScodeProjects\ocibuilder\include\boost\accumulators\statistics\parameters\quantile_probability.hpp", "C++", 10, 0, 0, 0, 0, 0, 0, 6, 8, 24
"e:\Projects\VScodeProjects\ocibuilder\include\boost\accumulators\statistics\peaks_over_threshold.hpp", "C++", 268, 0, 0, 0, 0, 0, 0, 116, 51, 435
"e:\Projects\VScodeProjects\ocibuilder\include\boost\accumulators\statistics\pot_quantile.hpp", "C++", 140, 0, 0, 0, 0, 0, 0, 47, 26, 213
"e:\Projects\VScodeProjects\ocibuilder\include\boost\accumulators\statistics\pot_tail_mean.hpp", "C++", 148, 0, 0, 0, 0, 0, 0, 46, 26, 220
"e:\Projects\VScodeProjects\ocibuilder\include\boost\accumulators\statistics\rolling_count.hpp", "C++", 49, 0, 0, 0, 0, 0, 0, 19, 17, 85
"e:\Projects\VScodeProjects\ocibuilder\include\boost\accumulators\statistics\rolling_mean.hpp", "C++", 128, 0, 0, 0, 0, 0, 0, 42, 27, 197
"e:\Projects\VScodeProjects\ocibuilder\include\boost\accumulators\statistics\rolling_moment.hpp", "C++", 71, 0, 0, 0, 0, 0, 0, 35, 15, 121
"e:\Projects\VScodeProjects\ocibuilder\include\boost\accumulators\statistics\rolling_sum.hpp", "C++", 65, 0, 0, 0, 0, 0, 0, 19, 15, 99
"e:\Projects\VScodeProjects\ocibuilder\include\boost\accumulators\statistics\rolling_variance.hpp", "C++", 142, 0, 0, 0, 0, 0, 0, 86, 32, 260
"e:\Projects\VScodeProjects\ocibuilder\include\boost\accumulators\statistics\rolling_window.hpp", "C++", 150, 0, 0, 0, 0, 0, 0, 36, 36, 222
"e:\Projects\VScodeProjects\ocibuilder\include\boost\accumulators\statistics\skewness.hpp", "C++", 65, 0, 0, 0, 0, 0, 0, 36, 18, 119
"e:\Projects\VScodeProjects\ocibuilder\include\boost\accumulators\statistics\stats.hpp", "C++", 14, 0, 0, 0, 0, 0, 0, 9, 7, 30
"e:\Projects\VScodeProjects\ocibuilder\include\boost\accumulators\statistics\sum.hpp", "C++", 96, 0, 0, 0, 0, 0, 0, 28, 23, 147
"e:\Projects\VScodeProjects\ocibuilder\include\boost\accumulators\statistics\sum_kahan.hpp", "C++", 125, 0, 0, 0, 0, 0, 0, 40, 32, 197
"e:\Projects\VScodeProjects\ocibuilder\include\boost\accumulators\statistics\tail.hpp", "C++", 244, 0, 0, 0, 0, 0, 0, 65, 44, 353
"e:\Projects\VScodeProjects\ocibuilder\include\boost\accumulators\statistics\tail_mean.hpp", "C++", 152, 0, 0, 0, 0, 0, 0, 68, 35, 255
"e:\Projects\VScodeProjects\ocibuilder\include\boost\accumulators\statistics\tail_quantile.hpp", "C++", 102, 0, 0, 0, 0, 0, 0, 40, 21, 163
"e:\Projects\VScodeProjects\ocibuilder\include\boost\accumulators\statistics\tail_variate.hpp", "C++", 106, 0, 0, 0, 0, 0, 0, 22, 23, 151
"e:\Projects\VScodeProjects\ocibuilder\include\boost\accumulators\statistics\tail_variate_means.hpp", "C++", 175, 0, 0, 0, 0, 0, 0, 61, 35, 271
"e:\Projects\VScodeProjects\ocibuilder\include\boost\accumulators\statistics\times2_iterator.hpp", "C++", 52, 0, 0, 0, 0, 0, 0, 8, 11, 71
"e:\Projects\VScodeProjects\ocibuilder\include\boost\accumulators\statistics\variance.hpp", "C++", 128, 0, 0, 0, 0, 0, 0, 89, 31, 248
"e:\Projects\VScodeProjects\ocibuilder\include\boost\accumulators\statistics\variates\covariate.hpp", "C++", 12, 0, 0, 0, 0, 0, 0, 6, 8, 26
"e:\Projects\VScodeProjects\ocibuilder\include\boost\accumulators\statistics\weighted_covariance.hpp", "C++", 91, 0, 0, 0, 0, 0, 0, 31, 19, 141
"e:\Projects\VScodeProjects\ocibuilder\include\boost\accumulators\statistics\weighted_density.hpp", "C++", 166, 0, 0, 0, 0, 0, 0, 44, 28, 238
"e:\Projects\VScodeProjects\ocibuilder\include\boost\accumulators\statistics\weighted_extended_p_square.hpp", "C++", 204, 0, 0, 0, 0, 0, 0, 61, 38, 303
"e:\Projects\VScodeProjects\ocibuilder\include\boost\accumulators\statistics\weighted_kurtosis.hpp", "C++", 55, 0, 0, 0, 0, 0, 0, 37, 14, 106
"e:\Projects\VScodeProjects\ocibuilder\include\boost\accumulators\statistics\weighted_mean.hpp", "C++", 133, 0, 0, 0, 0, 0, 0, 38, 26, 197
"e:\Projects\VScodeProjects\ocibuilder\include\boost\accumulators\statistics\weighted_median.hpp", "C++", 167, 0, 0, 0, 0, 0, 0, 56, 33, 256
"e:\Projects\VScodeProjects\ocibuilder\include\boost\accumulators\statistics\weighted_moment.hpp", "C++", 70, 0, 0, 0, 0, 0, 0, 18, 16, 104
"e:\Projects\VScodeProjects\ocibuilder\include\boost\accumulators\statistics\weighted_p_square_cumul_dist.hpp", "C++", 182, 0, 0, 0, 0, 0, 0, 56, 38, 276
"e:\Projects\VScodeProjects\ocibuilder\include\boost\accumulators\statistics\weighted_p_square_cumulative_distribution.hpp", "C++", 9, 0, 0, 0, 0, 0, 0, 6, 5, 20
"e:\Projects\VScodeProjects\ocibuilder\include\boost\accumulators\statistics\weighted_p_square_quantile.hpp", "C++", 174, 0, 0, 0, 0, 0, 0, 58, 35, 267
"e:\Projects\VScodeProjects\ocibuilder\include\boost\accumulators\statistics\weighted_peaks_over_threshold.hpp", "C++", 218, 0, 0, 0, 0, 0, 0, 42, 43, 303
"e:\Projects\VScodeProjects\ocibuilder\include\boost\accumulators\statistics\weighted_skewness.hpp", "C++", 52, 0, 0, 0, 0, 0, 0, 36, 14, 102
"e:\Projects\VScodeProjects\ocibuilder\include\boost\accumulators\statistics\weighted_sum.hpp", "C++", 81, 0, 0, 0, 0, 0, 0, 21, 22, 124
"e:\Projects\VScodeProjects\ocibuilder\include\boost\accumulators\statistics\weighted_sum_kahan.hpp", "C++", 99, 0, 0, 0, 0, 0, 0, 23, 25, 147
"e:\Projects\VScodeProjects\ocibuilder\include\boost\accumulators\statistics\weighted_tail_mean.hpp", "C++", 97, 0, 0, 0, 0, 0, 0, 51, 22, 170
"e:\Projects\VScodeProjects\ocibuilder\include\boost\accumulators\statistics\weighted_tail_quantile.hpp", "C++", 89, 0, 0, 0, 0, 0, 0, 40, 18, 147
"e:\Projects\VScodeProjects\ocibuilder\include\boost\accumulators\statistics\weighted_tail_variate_means.hpp", "C++", 153, 0, 0, 0, 0, 0, 0, 69, 32, 254
"e:\Projects\VScodeProjects\ocibuilder\include\boost\accumulators\statistics\weighted_variance.hpp", "C++", 104, 0, 0, 0, 0, 0, 0, 63, 27, 194
"e:\Projects\VScodeProjects\ocibuilder\include\boost\accumulators\statistics\with_error.hpp", "C++", 28, 0, 0, 0, 0, 0, 0, 9, 8, 45
"e:\Projects\VScodeProjects\ocibuilder\include\boost\accumulators\statistics_fwd.hpp", "C++", 319, 0, 0, 0, 0, 0, 0, 31, 83, 433
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\algorithm.hpp", "C++", 45, 0, 0, 0, 0, 0, 0, 32, 13, 90
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\apply_permutation.hpp", "C++", 68, 0, 0, 0, 0, 0, 0, 49, 11, 128
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\clamp.hpp", "C++", 62, 0, 0, 0, 0, 0, 0, 97, 18, 177
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\cxx11\all_of.hpp", "C++", 34, 0, 0, 0, 0, 0, 0, 40, 11, 85
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\cxx11\any_of.hpp", "C++", 34, 0, 0, 0, 0, 0, 0, 41, 11, 86
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\cxx11\copy_if.hpp", "C++", 50, 0, 0, 0, 0, 0, 0, 66, 16, 132
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\cxx11\copy_n.hpp", "C++", 13, 0, 0, 0, 0, 0, 0, 18, 7, 38
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\cxx11\find_if_not.hpp", "C++", 21, 0, 0, 0, 0, 0, 0, 24, 8, 53
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\cxx11\iota.hpp", "C++", 26, 0, 0, 0, 0, 0, 0, 29, 12, 67
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\cxx11\is_partitioned.hpp", "C++", 24, 0, 0, 0, 0, 0, 0, 26, 10, 60
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\cxx11\is_permutation.hpp", "C++", 107, 0, 0, 0, 0, 0, 0, 56, 24, 187
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\cxx11\is_sorted.hpp", "C++", 110, 0, 0, 0, 0, 0, 0, 136, 36, 282
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\cxx11\none_of.hpp", "C++", 34, 0, 0, 0, 0, 0, 0, 39, 11, 84
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\cxx11\one_of.hpp", "C++", 39, 0, 0, 0, 0, 0, 0, 37, 16, 92
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\cxx11\partition_copy.hpp", "C++", 31, 0, 0, 0, 0, 0, 0, 31, 10, 72
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\cxx11\partition_point.hpp", "C++", 33, 0, 0, 0, 0, 0, 0, 23, 11, 67
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\cxx14\equal.hpp", "C++", 60, 0, 0, 0, 0, 0, 0, 30, 17, 107
